ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species
bn_ASV_000001	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_bacterium
bn_ASV_000002	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_bacterium
bn_ASV_000003	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_alpha_proteobacterium
bn_ASV_000004	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_bacterium
bn_ASV_000005	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_bacterium
bn_ASV_000006	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium
bn_ASV_000007	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_bacterium
bn_ASV_000008	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_bacterium
bn_ASV_000009	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_marine_cyanobacterium
bn_ASV_000010	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium
bn_ASV_000011	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	uncultured_bacterium_HF0500_24B12
bn_ASV_000012	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	marine_metagenome
bn_ASV_000013	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola_sp._HTCC2999
bn_ASV_000014	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	uncultured_bacterium
bn_ASV_000015	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	uncultured_marine_bacterium
bn_ASV_000017	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	uncultured_bacterium
bn_ASV_000018	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	uncultured_marine_cyanobacterium
bn_ASV_000020	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	uncultured_bacterium
bn_ASV_000022	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_marine_bacterium
bn_ASV_000023	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	uncultured_marine_bacterium
bn_ASV_000024	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_bacterium
bn_ASV_000025	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_bacterium
bn_ASV_000026	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium
bn_ASV_000028	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	seawater_metagenome
bn_ASV_000031	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	Synechococcus_sp._WH_7805
bn_ASV_000032	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_marine_bacterium
bn_ASV_000033	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	uncultured_bacterium
bn_ASV_000036	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	uncultured_bacterium
bn_ASV_000037	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculales_OCS116	Parvibaculales_OCS116	uncultured_bacterium
bn_ASV_000038	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium
bn_ASV_000039	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster	uncultured_marine_bacterium
bn_ASV_000041	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_IV	SAR11_Clade_IV	uncultured_marine_bacterium
bn_ASV_000042	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	Citromicrobium_bathyomarinum_JL354
bn_ASV_000043	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_bacterium
bn_ASV_000044	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_bacterium
bn_ASV_000045	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_marine_bacterium
bn_ASV_000046	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_marine_bacterium
bn_ASV_000052	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium
bn_ASV_000054	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_alpha_proteobacterium
bn_ASV_000056	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	Kiloniella	Kiloniella_laminariae
bn_ASV_000057	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	uncultured_Vibrio_sp
bn_ASV_000058	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae_X	uncultured_marine_bacterium
bn_ASV_000059	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium
bn_ASV_000060	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_bacterium
bn_ASV_000062	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_bacterium
bn_ASV_000063	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_bacterium
bn_ASV_000064	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_OM60	uncultured_bacterium
bn_ASV_000067	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales_DEV007	Verrucomicrobiales_DEV007	uncultured_bacterium
bn_ASV_000069	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	uncultured_bacterium
bn_ASV_000070	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae_X	uncultured_marine_bacterium
bn_ASV_000071	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nereida	Nereida_ignava
bn_ASV_000072	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_bacterium
bn_ASV_000073	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriales_NS9	Flavobacteriales_NS9	uncultured_bacterium
