Source	Target	num_Triplets	percentage_co_occurrence
ep_ASV_00126	bn_ASV_000015	0	39.830508
ep_ASV_00126	bn_ASV_000026	0	46.601942
ep_ASV_00126	bn_ASV_000125	0	48.421053
ep_ASV_00126	bn_ASV_000133	0	50.537634
ep_ASV_00126	bn_ASV_000092	0	52.222222
ep_ASV_00126	bn_ASV_000088	0	56.666667
ep_ASV_00126	bn_ASV_000037	0	57.831325
ep_ASV_00126	bn_ASV_000184	0	54.320988
ep_ASV_00126	bn_ASV_000077	0	12.844037
ep_ASV_00126	bn_ASV_000221	0	55.421687
ep_ASV_00126	bn_ASV_000132	0	58.024691
ep_ASV_00126	bn_ASV_000039	0	64.000000
ep_ASV_00126	bn_ASV_000080	0	48.192771
ep_ASV_00126	bn_ASV_000116	0	10.714286
ep_ASV_00126	bn_ASV_000028	0	14.678899
ep_ASV_00126	bn_ASV_000102	0	57.142857
ep_ASV_00126	bn_ASV_000059	0	58.974359
ep_ASV_00126	bn_ASV_000043	0	13.888889
ep_ASV_00126	bn_ASV_000089	0	52.941176
ep_ASV_00126	bn_ASV_000073	0	68.115942
ep_ASV_00126	bn_ASV_000331	0	52.702703
ep_ASV_00126	bn_ASV_000178	0	13.592233
ep_ASV_00126	bp_ASV_000015	0	40.170940
ep_ASV_00126	bn_ASV_000156	0	9.708738
ep_ASV_00126	bp_ASV_000041	0	47.663551
ep_ASV_00126	bn_ASV_000230	0	62.686567
ep_ASV_00126	bp_ASV_000125	0	50.000000
ep_ASV_00126	ep_ASV_00002	0	52.941176
ep_ASV_00126	bn_ASV_000244	0	59.154930
ep_ASV_00126	bn_ASV_000210	0	63.636364
ep_ASV_00126	bn_ASV_000193	0	67.187500
ep_ASV_00126	bn_ASV_000064	0	7.920792
ep_ASV_00126	bn_ASV_000308	0	54.411765
ep_ASV_00126	bn_ASV_000213	0	66.129032
ep_ASV_00126	bp_ASV_000092	0	52.631579
ep_ASV_00126	bn_ASV_000474	0	51.515152
ep_ASV_00126	ep_ASV_00001	0	60.674157
ep_ASV_00126	bn_ASV_000067	0	66.176471
ep_ASV_00126	bn_ASV_000107	0	68.115942
ep_ASV_00126	bn_ASV_000170	0	64.516129
ep_ASV_00126	bn_ASV_000361	0	56.923077
ep_ASV_00126	bn_ASV_000226	0	66.666667
ep_ASV_00126	bn_ASV_000113	0	53.731343
ep_ASV_00126	bn_ASV_000304	0	54.545455
ep_ASV_00126	bn_ASV_000398	0	59.677419
ep_ASV_00126	ep_ASV_00073	0	54.945055
ep_ASV_00126	bp_ASV_000080	0	55.681818
ep_ASV_00126	bn_ASV_000232	0	60.317460
ep_ASV_00126	bn_ASV_000311	0	50.000000
ep_ASV_00126	en_ASV_00168	0	52.127660
ep_ASV_00126	bn_ASV_000290	0	56.666667
ep_ASV_00126	ep_ASV_00037	0	60.000000
ep_ASV_00126	bn_ASV_000135	0	59.677419
ep_ASV_00126	bp_ASV_000124	0	65.000000
ep_ASV_00126	bn_ASV_000222	0	58.730159
ep_ASV_00126	bn_ASV_000348	0	56.923077
ep_ASV_00126	bp_ASV_000088	0	67.948718
ep_ASV_00126	bn_ASV_000271	0	60.317460
ep_ASV_00126	bn_ASV_000367	0	66.101695
ep_ASV_00126	bn_ASV_000197	0	51.515152
ep_ASV_00126	ep_ASV_00072	0	59.523810
ep_ASV_00126	en_ASV_00109	0	55.813953
ep_ASV_00126	en_ASV_00112	0	52.272727
ep_ASV_00126	bp_ASV_000090	0	13.043478
ep_ASV_00126	ep_ASV_00047	0	54.545455
ep_ASV_00126	en_ASV_00402	0	48.387097
ep_ASV_00126	en_ASV_00206	0	51.724138
ep_ASV_00126	bp_ASV_000037	0	75.342466
ep_ASV_00126	bp_ASV_000077	0	13.274336
ep_ASV_00126	bn_ASV_000333	0	53.968254
ep_ASV_00126	bn_ASV_000511	0	53.125000
ep_ASV_00126	bn_ASV_000402	0	55.000000
ep_ASV_00126	bn_ASV_000411	0	52.459016
ep_ASV_00126	ep_ASV_00045	0	63.291139
ep_ASV_00126	bp_ASV_000059	0	68.918919
ep_ASV_00126	bn_ASV_000306	0	55.737705
ep_ASV_00126	bn_ASV_000279	0	57.377049
ep_ASV_00126	bn_ASV_000302	0	60.000000
ep_ASV_00126	bn_ASV_000462	0	55.000000
ep_ASV_00126	bn_ASV_000314	0	65.079365
ep_ASV_00126	en_ASV_00472	0	57.142857
ep_ASV_00126	en_ASV_00053	0	61.538462
ep_ASV_00126	en_ASV_00512	0	54.878049
ep_ASV_00126	bp_ASV_000039	0	73.239437
ep_ASV_00126	bn_ASV_000143	0	1.086957
ep_ASV_00126	bp_ASV_000221	0	52.500000
ep_ASV_00126	bp_ASV_000116	0	10.909091
ep_ASV_00126	bn_ASV_000599	0	52.459016
ep_ASV_00126	en_ASV_00119	0	65.753425
ep_ASV_00126	bp_ASV_000089	0	53.846154
ep_ASV_00126	bp_ASV_000063	0	7.142857
ep_ASV_00126	bn_ASV_000248	0	54.838710
ep_ASV_00126	ep_ASV_00215	0	56.410256
ep_ASV_00126	en_ASV_00092	0	65.333333
ep_ASV_00126	en_ASV_00547	0	55.844156
ep_ASV_00126	bp_ASV_000102	0	70.000000
ep_ASV_00126	bp_ASV_000159	0	6.250000
ep_ASV_00126	bn_ASV_000252	0	58.461538
ep_ASV_00126	bn_ASV_000257	0	51.612903
ep_ASV_00126	bn_ASV_000280	0	60.000000
ep_ASV_00126	bn_ASV_000457	0	55.932203
ep_ASV_00126	bp_ASV_000073	0	73.529412
ep_ASV_00126	bn_ASV_000415	0	51.666667
ep_ASV_00126	bn_ASV_000425	0	46.031746
ep_ASV_00126	ep_ASV_00018	0	74.626866
ep_ASV_00126	bp_ASV_000117	0	12.500000
ep_ASV_00126	bp_ASV_000142	0	12.500000
ep_ASV_00126	en_ASV_00016	0	68.571429
ep_ASV_00126	bp_ASV_000219	0	12.621359
ep_ASV_00126	bn_ASV_000378	0	65.000000
ep_ASV_00126	ep_ASV_00029	0	74.242424
ep_ASV_00126	bn_ASV_000298	0	52.459016
ep_ASV_00126	ep_ASV_00032	0	63.888889
ep_ASV_00126	bp_ASV_000156	0	9.615385
ep_ASV_00126	bp_ASV_000043	0	6.603774
ep_ASV_00126	bp_ASV_000230	0	68.656716
ep_ASV_00126	bp_ASV_000044	0	8.653846
ep_ASV_00126	bn_ASV_000540	0	58.064516
ep_ASV_00126	bn_ASV_000294	0	47.540984
ep_ASV_00126	bn_ASV_000118	0	54.687500
ep_ASV_00126	bp_ASV_000210	0	65.671642
ep_ASV_00126	ep_ASV_00213	0	62.500000
ep_ASV_00126	bn_ASV_000347	0	62.711864
ep_ASV_00126	bn_ASV_000458	0	48.333333
ep_ASV_00126	en_ASV_00636	0	60.869565
ep_ASV_00126	bp_ASV_000054	0	6.862745
ep_ASV_00126	bn_ASV_000528	0	55.172414
ep_ASV_00126	ep_ASV_00338	0	59.154930
ep_ASV_00126	en_ASV_00766	0	60.000000
ep_ASV_00126	bp_ASV_000193	0	77.049180
ep_ASV_00126	bn_ASV_000268	0	59.322034
ep_ASV_00126	bn_ASV_000440	0	42.105263
ep_ASV_00126	en_ASV_00140	0	69.841270
ep_ASV_00126	bp_ASV_000334	0	64.615385
ep_ASV_00126	en_ASV_01234	0	58.571429
ep_ASV_00126	bp_ASV_000244	0	63.076923
ep_ASV_00126	bp_ASV_000064	0	0.952381
ep_ASV_00126	bp_ASV_000213	0	76.666667
ep_ASV_00126	bp_ASV_000304	0	63.076923
ep_ASV_00126	bn_ASV_000320	0	50.819672
ep_ASV_00126	bn_ASV_000525	0	39.655172
ep_ASV_00126	ep_ASV_00008	0	5.940594
ep_ASV_00126	ep_ASV_00081	0	73.770492
ep_ASV_00126	ep_ASV_00127	0	68.656716
ep_ASV_00126	en_ASV_00727	0	63.235294
ep_ASV_00126	en_ASV_00059	0	7.000000
ep_ASV_00126	bn_ASV_000476	0	49.152542
ep_ASV_00126	bn_ASV_000176	0	47.457627
ep_ASV_00126	ep_ASV_00056	0	62.121212
ep_ASV_00126	en_ASV_00983	0	64.179104
ep_ASV_00126	bp_ASV_000308	0	60.000000
ep_ASV_00126	bn_ASV_000409	0	41.666667
ep_ASV_00126	bn_ASV_000573	0	42.372881
ep_ASV_00126	bn_ASV_000720	0	49.122807
ep_ASV_00126	bn_ASV_000446	0	36.842105
ep_ASV_00126	en_ASV_00683	0	55.223881
ep_ASV_00126	bp_ASV_000170	0	74.576271
ep_ASV_00126	bp_ASV_000113	0	63.492063
ep_ASV_00126	bp_ASV_000232	0	68.852459
ep_ASV_00126	bp_ASV_000311	0	58.461538
ep_ASV_00126	bn_ASV_000437	0	50.000000
ep_ASV_00126	en_ASV_00570	0	60.606061
ep_ASV_00126	en_ASV_00110	0	3.030303
ep_ASV_00126	en_ASV_01063	0	57.142857
ep_ASV_00126	en_ASV_00696	0	60.606061
ep_ASV_00126	en_ASV_00715	0	66.129032
ep_ASV_00126	bp_ASV_000474	0	50.000000
ep_ASV_00126	bn_ASV_000479	0	48.275862
ep_ASV_00126	ep_ASV_00084	0	75.862069
ep_ASV_00126	ep_ASV_00317	0	69.841270
ep_ASV_00126	en_ASV_00248	0	6.185567
ep_ASV_00126	bp_ASV_000398	0	65.573770
ep_ASV_00126	bp_ASV_000135	0	68.333333
ep_ASV_00126	bp_ASV_000348	0	57.812500
ep_ASV_00126	bn_ASV_000596	0	50.877193
ep_ASV_00126	ep_ASV_00070	0	74.137931
ep_ASV_00126	ep_ASV_00152	0	50.000000
ep_ASV_00126	bp_ASV_000226	0	66.666667
ep_ASV_00126	bp_ASV_000290	0	69.491525
ep_ASV_00126	ep_ASV_00087	0	65.000000
ep_ASV_00126	ep_ASV_00172	0	8.247423
ep_ASV_00126	ep_ASV_00413	0	57.575758
ep_ASV_00126	ep_ASV_00453	0	69.354839
ep_ASV_00126	en_ASV_00327	0	3.960396
ep_ASV_00126	en_ASV_00672	0	52.941176
ep_ASV_00126	en_ASV_01180	0	52.238806
ep_ASV_00126	bp_ASV_000361	0	57.142857
ep_ASV_00126	bn_ASV_000717	0	50.847458
ep_ASV_00126	ep_ASV_00040	0	61.290323
ep_ASV_00126	ep_ASV_00288	0	6.000000
ep_ASV_00126	bp_ASV_000367	0	63.333333
ep_ASV_00126	bp_ASV_000402	0	60.655738
ep_ASV_00126	ep_ASV_00246	0	63.333333
ep_ASV_00126	ep_ASV_00264	0	65.000000
ep_ASV_00126	ep_ASV_00269	0	2.083333
ep_ASV_00126	ep_ASV_00379	0	55.072464
ep_ASV_00126	en_ASV_00310	0	1.041667
ep_ASV_00126	bp_ASV_000222	0	64.406780
ep_ASV_00126	ep_ASV_00305	0	56.451613
ep_ASV_00126	ep_ASV_00350	0	62.903226
ep_ASV_00126	en_ASV_00879	0	60.000000
ep_ASV_00126	bp_ASV_000271	0	62.711864
ep_ASV_00126	bp_ASV_000333	0	52.380952
ep_ASV_00126	en_ASV_00253	0	4.123711
ep_ASV_00126	en_ASV_01073	0	54.687500
ep_ASV_00126	en_ASV_00406	0	54.098361
ep_ASV_00126	bp_ASV_000380	0	44.615385
ep_ASV_00126	bp_ASV_000306	0	59.322034
ep_ASV_00126	bp_ASV_000279	0	62.068966
ep_ASV_00126	bp_ASV_000462	0	62.068966
ep_ASV_00126	ep_ASV_00164	0	2.173913
ep_ASV_00126	ep_ASV_00401	0	55.555556
ep_ASV_00126	bp_ASV_000406	0	45.312500
ep_ASV_00126	bp_ASV_000511	0	55.000000
ep_ASV_00126	bp_ASV_000302	0	60.344828
ep_ASV_00126	bn_ASV_000498	0	42.372881
ep_ASV_00126	bn_ASV_000607	0	53.225806
ep_ASV_00126	ep_ASV_00162	0	53.333333
ep_ASV_00126	ep_ASV_00216	0	53.846154
ep_ASV_00126	ep_ASV_00301	0	59.016393
ep_ASV_00126	ep_ASV_00480	0	62.295082
ep_ASV_00126	ep_ASV_00516	0	51.470588
ep_ASV_00126	ep_ASV_00552	0	55.737705
ep_ASV_00126	en_ASV_00804	0	55.737705
ep_ASV_00126	en_ASV_00954	0	49.206349
ep_ASV_00126	en_ASV_00969	0	53.225806
ep_ASV_00126	en_ASV_01061	0	50.000000
ep_ASV_00126	bp_ASV_000319	0	61.403509
ep_ASV_00126	bn_ASV_000846	0	40.350877
ep_ASV_00126	ep_ASV_00396	0	55.737705
ep_ASV_00126	en_ASV_01138	0	54.098361
ep_ASV_00126	en_ASV_00848	0	50.769231
ep_ASV_00126	bp_ASV_000599	0	59.649123
ep_ASV_00126	bp_ASV_000257	0	51.666667
ep_ASV_00126	bp_ASV_000457	0	56.896552
ep_ASV_00126	bp_ASV_000415	0	54.237288
ep_ASV_00126	bp_ASV_000393	0	40.000000
ep_ASV_00126	bn_ASV_000267	0	41.379310
ep_ASV_00126	bn_ASV_000832	0	41.379310
en_ASV_00254	bn_ASV_000001	0	56.521739
en_ASV_00254	bn_ASV_000087	0	61.538462
en_ASV_00254	bn_ASV_000012	0	60.185185
en_ASV_00254	bn_ASV_000031	0	58.585859
en_ASV_00254	bn_ASV_000116	0	55.813953
en_ASV_00254	bn_ASV_000025	0	64.130435
en_ASV_00254	bn_ASV_000136	0	55.555556
en_ASV_00254	en_ASV_00118	0	62.765957
en_ASV_00254	bn_ASV_000281	0	48.684211
en_ASV_00254	bn_ASV_000079	0	58.333333
en_ASV_00254	bn_ASV_000190	0	55.263158
en_ASV_00254	bp_ASV_000163	0	54.117647
en_ASV_00254	bn_ASV_000217	0	45.333333
en_ASV_00254	bn_ASV_000245	0	50.000000
en_ASV_00254	bp_ASV_000214	0	58.227848
en_ASV_00254	en_ASV_00161	0	56.578947
en_ASV_00254	bn_ASV_000505	0	46.753247
en_ASV_00254	en_ASV_00385	0	52.631579
en_ASV_00254	bp_ASV_000062	0	46.153846
en_ASV_00254	en_ASV_00207	0	48.684211
en_ASV_00254	en_ASV_00518	0	48.684211
en_ASV_00254	bp_ASV_000341	0	49.333333
en_ASV_00254	en_ASV_00074	0	44.736842
en_ASV_00254	bp_ASV_000329	0	41.558442
en_ASV_00254	bn_ASV_000272	0	50.704225
en_ASV_00254	en_ASV_00310	0	42.666667
en_ASV_00254	en_ASV_00530	0	54.794521
en_ASV_00254	en_ASV_00226	0	41.333333
en_ASV_00254	bn_ASV_000761	0	30.434783
en_ASV_00254	en_ASV_00686	0	47.887324
en_ASV_00254	bn_ASV_000757	0	45.833333
en_ASV_01222	bn_ASV_000088	0	54.444444
en_ASV_01222	bn_ASV_000037	0	57.317073
en_ASV_01222	bn_ASV_000221	0	54.878049
en_ASV_01222	bn_ASV_000080	0	55.128205
en_ASV_01222	bn_ASV_000244	0	58.571429
en_ASV_01222	bn_ASV_000193	0	64.062500
en_ASV_01222	bn_ASV_000308	0	51.470588
en_ASV_01222	bn_ASV_000213	0	62.903226
en_ASV_01222	bp_ASV_000146	0	52.127660
en_ASV_01222	bn_ASV_000067	0	70.769231
en_ASV_01222	bn_ASV_000107	0	62.857143
en_ASV_01222	bn_ASV_000170	0	58.730159
en_ASV_01222	bn_ASV_000226	0	55.555556
en_ASV_01222	bn_ASV_000113	0	60.317460
en_ASV_01222	bn_ASV_000232	0	57.142857
en_ASV_01222	en_ASV_00168	0	54.945055
en_ASV_01222	bn_ASV_000135	0	59.016393
en_ASV_01222	bn_ASV_000222	0	55.555556
en_ASV_01222	bn_ASV_000271	0	62.295082
en_ASV_01222	en_ASV_00109	0	55.294118
en_ASV_01222	en_ASV_00206	0	54.761905
en_ASV_01222	bn_ASV_000333	0	55.737705
en_ASV_01222	bn_ASV_000511	0	52.380952
en_ASV_01222	bn_ASV_000431	0	49.206349
en_ASV_01222	bn_ASV_000306	0	52.459016
en_ASV_01222	bn_ASV_000314	0	59.375000
en_ASV_01222	en_ASV_00512	0	52.439024
en_ASV_01222	en_ASV_00096	0	58.441558
en_ASV_01222	en_ASV_00119	0	52.564103
en_ASV_01222	en_ASV_00397	0	56.962025
en_ASV_01222	en_ASV_00092	0	52.500000
en_ASV_01222	en_ASV_00547	0	61.643836
en_ASV_01222	bp_ASV_000102	0	60.273973
en_ASV_01222	bn_ASV_000252	0	62.903226
en_ASV_01222	bp_ASV_000073	0	58.904110
en_ASV_01222	bn_ASV_000415	0	56.140351
en_ASV_01222	bn_ASV_000262	0	57.142857
