Source	Target	LS	Xs	Len	MutualInformation	percentage_co_occurrence	intersection	union	J
bn_ASV_000001	bn_ASV_000020	0.553088	1	120	0.577529	82.608696	95	115	0.826086956521739
bn_ASV_000001	bn_ASV_000054	0.598221	1	103	0.602528	55.652174	64	115	0.556521739130435
bn_ASV_000001	bn_ASV_000078	-0.675511	1	118	0.43939	62.711864	74	118	0.627118644067797
bn_ASV_000001	bn_ASV_000079	0.724166	1	120	0.75105	59.130435	68	115	0.591304347826087
bn_ASV_000001	bn_ASV_000184	-0.487241	1	118	0.410475	55.462185	66	119	0.554621848739496
bn_ASV_000001	bp_ASV_000017	-0.551281	1	120	0.409475	54.621849	65	119	0.546218487394958
bn_ASV_000001	bp_ASV_000163	0.50626	1	120	0.526638	56.034483	65	116	0.560344827586207
bn_ASV_000001	bp_ASV_000219	0.522042	24	97	0.579875	51.724138	60	116	0.517241379310345
bn_ASV_000001	en_ASV_00097	0.57878	1	120	0.461209	71.304348	82	115	0.71304347826087
bn_ASV_000001	en_ASV_00218	0.485765	1	116	0.372639	52.173913	60	115	0.521739130434783
bn_ASV_000005	bn_ASV_000001	-0.527939	9	111	0.23309	86.554622	103	119	0.865546218487395
bn_ASV_000005	bn_ASV_000009	0.876061	2	119	0.634862	90.265487	102	113	0.902654867256637
bn_ASV_000005	bn_ASV_000017	0.579581	3	117	0.30194	68.518519	74	108	0.685185185185185
bn_ASV_000005	bn_ASV_000025	-0.501586	3	118	0.147522	63.559322	75	118	0.635593220338983
bn_ASV_000005	bn_ASV_000036	0.489272	3	117	0.303239	73.873874	82	111	0.738738738738739
bn_ASV_000005	bn_ASV_000037	0.564745	3	118	0.363274	71.028037	76	107	0.710280373831776
bn_ASV_000005	bn_ASV_000060	0.773803	2	119	0.54448	53.703704	58	108	0.537037037037037
bn_ASV_000005	bn_ASV_000096	-0.528275	15	100	0.308841	66.086957	76	115	0.660869565217391
bn_ASV_000005	bn_ASV_000098	0.751204	2	119	0.532045	51.851852	56	108	0.518518518518518
bn_ASV_000005	bn_ASV_000151	0.530919	5	116	0.31222	69.158879	74	107	0.691588785046729
bn_ASV_000005	bn_ASV_000234	0.483978	7	112	0.270061	67.272727	74	110	0.672727272727273
bn_ASV_000005	bn_ASV_000265	0.492333	1	116	0.248104	72.477064	79	109	0.724770642201835
bn_ASV_000005	bn_ASV_000283	0.487309	2	119	0.322883	58.333333	63	108	0.583333333333333
bn_ASV_000005	bn_ASV_000379	0.622688	1	117	0.320646	61.111111	66	108	0.611111111111111
bn_ASV_000005	bp_ASV_000009	0.529807	18	103	0.316163	76.106195	86	113	0.761061946902655
bn_ASV_000005	bp_ASV_000059	0.504598	3	118	0.304221	60.909091	67	110	0.609090909090909
bn_ASV_000005	bp_ASV_000132	0.498934	3	116	0.375143	63.888889	69	108	0.638888888888889
bn_ASV_000005	en_ASV_00016	0.699469	3	118	0.337795	58.878505	63	107	0.588785046728972
bn_ASV_000005	en_ASV_00092	0.618301	3	118	0.30667	62.962963	68	108	0.62962962962963
bn_ASV_000005	en_ASV_00096	0.594144	3	116	0.207376	62.962963	68	108	0.62962962962963
bn_ASV_000005	en_ASV_00112	0.522243	5	116	0.131658	67.567568	75	111	0.675675675675676
bn_ASV_000005	ep_ASV_00001	0.634428	3	118	0.326951	77.272727	85	110	0.772727272727273
bn_ASV_000005	ep_ASV_00002	0.678644	1	120	0.25685	84.070796	95	113	0.84070796460177
bn_ASV_000005	ep_ASV_00032	0.68956	1	120	0.416104	58.878505	63	107	0.588785046728972
bn_ASV_000006	bn_ASV_000007	0.704222	1	120	0.740769	93.103448	108	116	0.931034482758621
bn_ASV_000006	bn_ASV_000008	0.720182	1	120	0.661767	93.103448	108	116	0.931034482758621
bn_ASV_000006	bn_ASV_000010	0.905171	1	120	1.035335	90.677966	107	118	0.906779661016949
bn_ASV_000006	bn_ASV_000026	0.632278	1	120	0.638618	82.608696	95	115	0.826086956521739
bn_ASV_000006	bn_ASV_000052	0.494725	5	116	0.379031	71.551724	83	116	0.71551724137931
bn_ASV_000006	bn_ASV_000091	0.613267	1	120	0.553898	76.315789	87	114	0.763157894736842
bn_ASV_000006	bn_ASV_000092	0.485294	1	120	0.512633	71.929825	82	114	0.719298245614035
bn_ASV_000006	bn_ASV_000095	0.668008	1	120	0.530574	80	92	115	0.8
bn_ASV_000006	bn_ASV_000096	0.628129	5	116	0.527473	72.173913	83	115	0.721739130434783
bn_ASV_000006	bn_ASV_000115	0.51254	3	118	0.601126	66.666667	76	114	0.666666666666667
bn_ASV_000006	bn_ASV_000125	0.487174	1	120	0.534067	75.438596	86	114	0.754385964912281
bn_ASV_000006	bn_ASV_000133	0.577359	1	120	0.506611	74.561404	85	114	0.745614035087719
bn_ASV_000006	bn_ASV_000146	0.5106	5	116	0.456711	71.052632	81	114	0.710526315789474
bn_ASV_000006	bn_ASV_000184	0.486475	1	120	0.526059	61.403509	70	114	0.614035087719298
