Source	Target	prevalence_numMonths	prevalence_fractionMonths	Month_01	Month_02	Month_03	Month_04	Month_05	Month_06	Month_07	Month_08	Month_09	Month_10	Month_11	Month_12
bn_ASV_000001	bn_ASV_000020	95	79.1666666666667	100	80	90	40	30	50	70	90	100	100	100	100
bn_ASV_000001	bn_ASV_000054	59	49.1666666666667	0	0	0	30	30	90	80	80	80	80	70	50
bn_ASV_000001	bn_ASV_000078	72	60	90	90	100	50	90	80	20	0	10	30	80	80
bn_ASV_000001	bn_ASV_000079	68	56.6666666666667	60	0	0	30	30	40	100	80	80	90	80	90
bn_ASV_000001	bn_ASV_000184	64	53.3333333333333	90	80	70	30	40	70	50	0	20	30	80	80
bn_ASV_000001	bp_ASV_000017	65	54.1666666666667	100	90	90	60	60	50	20	0	20	20	60	80
bn_ASV_000001	bp_ASV_000163	65	54.1666666666667	50	30	20	0	20	20	60	90	90	90	90	90
bn_ASV_000001	bp_ASV_000219	49	40.8333333333333	10	0	0	0	20	60	70	80	80	80	50	40
bn_ASV_000001	en_ASV_00097	82	68.3333333333333	30	50	30	40	80	80	60	90	90	100	80	90
bn_ASV_000001	en_ASV_00218	57	47.5	20	20	30	0	30	50	90	90	50	70	50	70
bn_ASV_000005	bn_ASV_000001	99	82.5	90	90	90	60	90	90	60	60	70	100	100	90
bn_ASV_000005	bn_ASV_000009	101	84.1666666666667	90	90	100	80	100	90	60	60	60	90	90	100
bn_ASV_000005	bn_ASV_000017	71	59.1666666666667	90	90	100	90	90	50	0	30	10	0	70	90
bn_ASV_000005	bn_ASV_000025	74	61.6666666666667	60	30	30	30	40	80	60	60	70	100	100	80
bn_ASV_000005	bn_ASV_000036	79	65.8333333333333	70	90	100	80	100	80	0	0	40	80	70	80
bn_ASV_000005	bn_ASV_000037	74	61.6666666666667	90	90	100	80	70	60	10	0	0	50	90	100
bn_ASV_000005	bn_ASV_000060	58	48.3333333333333	70	80	80	60	80	50	0	0	0	20	60	80
bn_ASV_000005	bn_ASV_000096	66	55	50	60	30	30	50	70	60	50	40	60	80	80
bn_ASV_000005	bn_ASV_000098	56	46.6666666666667	50	70	70	50	80	60	30	0	0	30	60	60
bn_ASV_000005	bn_ASV_000151	70	58.3333333333333	80	80	70	80	100	70	10	0	10	30	80	90
bn_ASV_000005	bn_ASV_000234	68	56.6666666666667	60	70	90	60	60	60	30	0	30	80	80	60
bn_ASV_000005	bn_ASV_000265	75	62.5	100	80	80	50	80	60	20	0	40	80	70	90
bn_ASV_000005	bn_ASV_000283	63	52.5	40	80	60	80	70	80	20	0	10	30	80	80
bn_ASV_000005	bn_ASV_000379	63	52.5	100	80	80	40	80	50	0	0	20	40	60	80
