Source	Target	edgesize
bn_ASV_000001	bn_ASV_000020	1
bn_ASV_000001	bn_ASV_000054	1
bn_ASV_000001	bn_ASV_000078	1
bn_ASV_000001	bn_ASV_000079	1
bn_ASV_000001	bn_ASV_000184	1
bn_ASV_000001	bp_ASV_000017	1
bn_ASV_000001	bp_ASV_000163	1
bn_ASV_000001	bp_ASV_000219	1
bn_ASV_000001	en_ASV_00097	1
bn_ASV_000001	en_ASV_00218	1
bn_ASV_000005	bn_ASV_000001	1
bn_ASV_000005	bn_ASV_000009	1
bn_ASV_000005	bn_ASV_000017	1
bn_ASV_000005	bn_ASV_000025	1
bn_ASV_000005	bn_ASV_000036	1
bn_ASV_000005	bn_ASV_000037	1
bn_ASV_000005	bn_ASV_000060	1
bn_ASV_000005	bn_ASV_000096	1
bn_ASV_000005	bn_ASV_000098	1
bn_ASV_000005	bn_ASV_000151	1
bn_ASV_000005	bn_ASV_000234	1
bn_ASV_000005	bn_ASV_000265	1
bn_ASV_000005	bn_ASV_000283	1
bn_ASV_000005	bn_ASV_000379	1
bn_ASV_000005	bp_ASV_000009	1
bn_ASV_000005	bp_ASV_000059	1
bn_ASV_000005	bp_ASV_000132	1
bn_ASV_000005	en_ASV_00016	1
bn_ASV_000005	en_ASV_00092	1
bn_ASV_000005	en_ASV_00096	1
bn_ASV_000005	en_ASV_00112	1
bn_ASV_000005	ep_ASV_00001	1
bn_ASV_000005	ep_ASV_00002	1
bn_ASV_000005	ep_ASV_00032	1
bn_ASV_000006	bn_ASV_000007	0
bn_ASV_000006	bn_ASV_000008	0
bn_ASV_000006	bn_ASV_000010	0
bn_ASV_000006	bn_ASV_000026	0
bn_ASV_000006	bn_ASV_000052	0
bn_ASV_000006	bn_ASV_000091	0
bn_ASV_000006	bn_ASV_000092	0
bn_ASV_000006	bn_ASV_000095	0
bn_ASV_000006	bn_ASV_000096	0
bn_ASV_000006	bn_ASV_000115	0
bn_ASV_000006	bn_ASV_000125	0
bn_ASV_000006	bn_ASV_000133	0
bn_ASV_000006	bn_ASV_000146	0
bn_ASV_000006	bn_ASV_000184	0
bn_ASV_000006	bn_ASV_000221	0
bn_ASV_000006	bn_ASV_000240	0
bn_ASV_000006	bn_ASV_000256	0
bn_ASV_000007	bn_ASV_000010	0
bn_ASV_000007	bn_ASV_000025	1
bn_ASV_000007	bn_ASV_000026	0
bn_ASV_000007	bn_ASV_000032	0
bn_ASV_000007	bn_ASV_000072	0
bn_ASV_000007	bn_ASV_000102	0
bn_ASV_000007	bn_ASV_000115	0
bn_ASV_000007	bn_ASV_000133	0
bn_ASV_000007	bn_ASV_000146	0
bn_ASV_000007	bn_ASV_000151	0
bn_ASV_000007	bn_ASV_000155	0
bn_ASV_000007	bn_ASV_000184	0
bn_ASV_000008	bn_ASV_000007	0
bn_ASV_000008	bn_ASV_000010	0
bn_ASV_000008	bn_ASV_000026	0
bn_ASV_000008	bn_ASV_000032	0
bn_ASV_000008	bn_ASV_000037	0
bn_ASV_000008	bn_ASV_000059	0
bn_ASV_000008	bn_ASV_000080	0
bn_ASV_000008	bn_ASV_000092	0
bn_ASV_000008	bn_ASV_000102	0
bn_ASV_000008	bn_ASV_000115	0
bn_ASV_000008	bn_ASV_000124	0
bn_ASV_000008	bn_ASV_000125	0
bn_ASV_000008	bn_ASV_000133	0
bn_ASV_000008	bn_ASV_000146	0
bn_ASV_000008	bn_ASV_000151	0
bn_ASV_000008	bn_ASV_000155	0
bn_ASV_000008	bn_ASV_000184	0
bn_ASV_000008	bn_ASV_000221	0
bn_ASV_000008	bn_ASV_000240	0
bn_ASV_000008	bn_ASV_000331	0
bn_ASV_000008	en_ASV_00472	0
bn_ASV_000009	ep_ASV_00032	1
bn_ASV_000010	bn_ASV_000133	0
bn_ASV_000012	bn_ASV_000001	1
bn_ASV_000012	bn_ASV_000007	1
bn_ASV_000012	bn_ASV_000017	1
bn_ASV_000012	bn_ASV_000020	1
bn_ASV_000012	bn_ASV_000025	1
bn_ASV_000012	bn_ASV_000032	1
bn_ASV_000012	bn_ASV_000036	1
bn_ASV_000012	bn_ASV_000037	1
bn_ASV_000012	bn_ASV_000038	1
bn_ASV_000012	bn_ASV_000062	1
bn_ASV_000012	bn_ASV_000078	1
bn_ASV_000012	bn_ASV_000079	1
bn_ASV_000012	bn_ASV_000089	1
bn_ASV_000012	bn_ASV_000124	1
bn_ASV_000012	bn_ASV_000129	1
bn_ASV_000012	bn_ASV_000151	1
bn_ASV_000012	bp_ASV_000001	1
bn_ASV_000012	bp_ASV_000012	1
bn_ASV_000012	bp_ASV_000219	1
bn_ASV_000015	bn_ASV_000028	0
bn_ASV_000015	bn_ASV_000037	0
bn_ASV_000015	bn_ASV_000054	0
bn_ASV_000015	bn_ASV_000075	0
bn_ASV_000015	bn_ASV_000077	0
bn_ASV_000015	bn_ASV_000080	0
bn_ASV_000015	bn_ASV_000088	0
bn_ASV_000015	bn_ASV_000102	0
bn_ASV_000015	bn_ASV_000125	0
bn_ASV_000015	bn_ASV_000156	0
bn_ASV_000015	bn_ASV_000178	0
bn_ASV_000015	bp_ASV_000063	0
bn_ASV_000015	bp_ASV_000077	0
bn_ASV_000015	bp_ASV_000080	0
bn_ASV_000015	bp_ASV_000088	0
bn_ASV_000015	en_ASV_00031	0
bn_ASV_000015	en_ASV_00053	0
bn_ASV_000015	en_ASV_00102	0
bn_ASV_000015	en_ASV_00206	0
bn_ASV_000015	en_ASV_00472	0
bn_ASV_000015	ep_ASV_00001	0
bn_ASV_000015	ep_ASV_00009	0
bn_ASV_000015	ep_ASV_00037	0
bn_ASV_000017	bn_ASV_000001	1
bn_ASV_000017	bn_ASV_000007	0
bn_ASV_000017	bn_ASV_000026	0
bn_ASV_000017	bn_ASV_000036	0
bn_ASV_000017	bn_ASV_000037	0
bn_ASV_000017	bn_ASV_000072	0
bn_ASV_000017	bn_ASV_000073	0
bn_ASV_000017	bn_ASV_000078	0
bn_ASV_000017	bn_ASV_000089	0
bn_ASV_000017	bn_ASV_000104	0
bn_ASV_000017	bn_ASV_000129	0
bn_ASV_000017	bn_ASV_000151	0
bn_ASV_000017	bn_ASV_000184	0
bn_ASV_000017	bn_ASV_000197	0
bn_ASV_000017	bn_ASV_000230	0
bn_ASV_000017	bn_ASV_000239	0
bn_ASV_000017	bn_ASV_000302	0
bn_ASV_000017	bn_ASV_000308	0
bn_ASV_000017	bn_ASV_000398	0
bn_ASV_000017	bn_ASV_000475	0
bn_ASV_000017	bp_ASV_000017	0
bn_ASV_000017	bp_ASV_000036	0
bn_ASV_000017	bp_ASV_000059	0
bn_ASV_000017	bp_ASV_000210	0
bn_ASV_000017	bp_ASV_000239	0
bn_ASV_000017	bp_ASV_000398	0
bn_ASV_000017	en_ASV_00016	0
bn_ASV_000017	en_ASV_00092	0
bn_ASV_000017	en_ASV_00112	0
bn_ASV_000017	en_ASV_00366	0
bn_ASV_000017	en_ASV_01063	0
bn_ASV_000017	ep_ASV_00040	0
bn_ASV_000018	bn_ASV_000006	1
bn_ASV_000018	bn_ASV_000010	1
bn_ASV_000018	bn_ASV_000020	1
bn_ASV_000018	bn_ASV_000067	1
bn_ASV_000018	bn_ASV_000080	1
bn_ASV_000018	bn_ASV_000091	1
bn_ASV_000018	bn_ASV_000092	1
bn_ASV_000018	bn_ASV_000102	1
bn_ASV_000018	bn_ASV_000113	1
bn_ASV_000018	bn_ASV_000133	1
bn_ASV_000018	bn_ASV_000134	1
bn_ASV_000018	bn_ASV_000135	1
bn_ASV_000018	bn_ASV_000141	1
bn_ASV_000018	bn_ASV_000146	1
bn_ASV_000018	bn_ASV_000179	1
bn_ASV_000018	bn_ASV_000213	1
bn_ASV_000018	bn_ASV_000221	1
bn_ASV_000018	bn_ASV_000240	1
bn_ASV_000018	bn_ASV_000256	1
bn_ASV_000018	bn_ASV_000289	1
bn_ASV_000018	bn_ASV_000331	1
bn_ASV_000018	bn_ASV_000375	1
bn_ASV_000018	bn_ASV_000380	1
bn_ASV_000018	bp_ASV_000024	1
bn_ASV_000018	bp_ASV_000041	1
bn_ASV_000018	bp_ASV_000080	1
bn_ASV_000018	bp_ASV_000113	1
bn_ASV_000018	bp_ASV_000170	1
